epoch,accuracy,loss,val_accuracy,val_loss
0,0.46875,0.6926780343055725,0.4848484992980957,0.6934570381135652
1,0.546875,0.6914964616298676,0.4848484992980957,0.69480033715566
2,0.546875,0.6887046694755554,0.4848484992980957,0.6960011540037213
3,0.546875,0.6898368000984192,0.4848484992980957,0.6974977634169839
4,0.546875,0.6874732673168182,0.4848484992980957,0.698662620602232
5,0.546875,0.6889885067939758,0.4848484992980957,0.6999463655731895
6,0.546875,0.6868039965629578,0.4848484992980957,0.7002082449017148
7,0.546875,0.6881323158740997,0.4848484992980957,0.7007192662267974
8,0.546875,0.6871197819709778,0.4848484992980957,0.7002050641811255
9,0.546875,0.686028242111206,0.4848484992980957,0.699919758421002
10,0.546875,0.6865482330322266,0.4848484992980957,0.699380403215235
11,0.546875,0.6846912801265717,0.4848484992980957,0.6988844221288507
12,0.546875,0.6848329603672028,0.4848484992980957,0.6986937378392075
13,0.546875,0.6835542023181915,0.4848484992980957,0.6980787009903879
14,0.546875,0.683342695236206,0.4848484992980957,0.697716853835366
15,0.546875,0.6824835240840912,0.4848484992980957,0.697441532756343
16,0.546875,0.6830011904239655,0.4848484992980957,0.6966652563123992
17,0.546875,0.6796603202819824,0.4848484992980957,0.6959429943200314
18,0.546875,0.6798795759677887,0.4848484992980957,0.6954385909167203
19,0.546875,0.6759693920612335,0.4848484992980957,0.6949026602687258
20,0.546875,0.6771189570426941,0.4848484992980957,0.6940988211920767
21,0.546875,0.6734584271907806,0.4848484992980957,0.6929392706264149
22,0.546875,0.670585960149765,0.4848484992980957,0.6916990966507883
23,0.546875,0.6700113415718079,0.4848484992980957,0.6903190287676725
24,0.546875,0.6641951203346252,0.4848484992980957,0.6886109727801699
25,0.546875,0.6640482842922211,0.4848484992980957,0.6865630926507892
26,0.546875,0.6577662527561188,0.4848484992980957,0.6839150515469637
27,0.546875,0.6547463536262512,0.4848484992980957,0.680872509876887
28,0.546875,0.6504921019077301,0.4848484992980957,0.6772768840645299
29,0.546875,0.6459521055221558,0.4848484992980957,0.6722485892700426
30,0.546875,0.6339427828788757,0.4848484992980957,0.6665554769111403
31,0.546875,0.6273890733718872,0.4848484992980957,0.660079095399741
32,0.546875,0.6207201480865479,0.4848484992980957,0.6534949577215946
33,0.5625,0.6130316853523254,0.4848484992980957,0.6461990168600371
34,0.59375,0.5964444577693939,0.6060606241226196,0.6371516693722118
35,0.625,0.5890631079673767,0.6666666865348816,0.627396125685085
36,0.765625,0.572851687669754,0.6363636255264282,0.6183405121167501
37,0.828125,0.5606701076030731,0.6363636255264282,0.6087959453915105
38,0.8125,0.5428089499473572,0.6363636255264282,0.5994939515084932
39,0.8125,0.5332285612821579,0.6363636255264282,0.5933604890649969
40,0.796875,0.5080934762954712,0.6666666865348816,0.5837619995529001
41,0.78125,0.5021921992301941,0.6666666865348816,0.5744199992129297
42,0.796875,0.48755066096782684,0.6666666865348816,0.5698175154852144
43,0.796875,0.46445493400096893,0.6969696879386902,0.5640806673151074
44,0.828125,0.4497905969619751,0.7272727489471436,0.5578563777786313
45,0.78125,0.4367804080247879,0.7575757503509521,0.5512833599791382
46,0.828125,0.4244401156902313,0.7878788113594055,0.5432144798564188
47,0.875,0.40724870562553406,0.7575757503509521,0.5354617773131891
48,0.828125,0.38992127776145935,0.7575757503509521,0.5302885400526451
49,0.859375,0.38207991421222687,0.7575757503509521,0.5365177116385011
50,0.84375,0.3589501976966858,0.7575757503509521,0.5428906613678643
51,0.90625,0.35009846091270447,0.7575757503509521,0.5480804780893254
52,0.90625,0.33132368326187134,0.7575757503509521,0.5519659409130161
53,0.9375,0.30868610739707947,0.7575757503509521,0.5502846945415844
54,0.921875,0.29443198442459106,0.7878788113594055,0.5475608914751898
55,0.90625,0.29031092673540115,0.7878788113594055,0.5496342216590138
56,0.9375,0.2792561799287796,0.7878788113594055,0.5644689705787282
57,0.984375,0.24517075717449188,0.7878788113594055,0.573540777334887
58,0.96875,0.23864319920539856,0.7575757503509521,0.5907878181191556
59,0.984375,0.22606715559959412,0.7878788113594055,0.5819504169295683
60,0.984375,0.21251938492059708,0.7878788113594055,0.5821924450045283
61,0.984375,0.1928309053182602,0.7878788113594055,0.58643867666692
62,0.984375,0.18806811422109604,0.7878788113594055,0.5967468598603525
63,1.0,0.17015965282917023,0.7878788113594055,0.6034549001152768
64,0.96875,0.17120643705129623,0.7878788113594055,0.6144074237284561
65,0.984375,0.14133059233427048,0.7878788113594055,0.6194420354723027
66,1.0,0.14029255881905556,0.7878788113594055,0.626446876131619
67,0.953125,0.14576225727796555,0.7878788113594055,0.6526443350665045
68,1.0,0.11492190882563591,0.7878788113594055,0.6693017408251762
69,0.984375,0.11513800919055939,0.7878788113594055,0.667414846279743
70,1.0,0.09351411834359169,0.7878788113594055,0.6578776431904937
71,0.984375,0.0968380756676197,0.7878788113594055,0.6612269503777056
72,0.984375,0.08654966950416565,0.7878788113594055,0.6709168775458679
73,1.0,0.08398360386490822,0.7878788113594055,0.6812029126184908
74,1.0,0.07763696834445,0.7878788113594055,0.7010910474592961
75,1.0,0.06847584247589111,0.7575757503509521,0.6992302461823617
76,1.0,0.06901250779628754,0.7575757503509521,0.6959225766318426
77,1.0,0.05019059404730797,0.7575757503509521,0.6973324771018021
78,0.984375,0.060383141040802,0.7575757503509521,0.7024083691208172
79,1.0,0.06187971495091915,0.7575757503509521,0.7215001569200081
80,1.0,0.040690128691494465,0.7575757503509521,0.7344596271110332
81,1.0,0.046201806515455246,0.7575757503509521,0.7443081083104268
82,1.0,0.03907168563455343,0.7272727489471436,0.750558647569657
83,1.0,0.03227572236210108,0.7272727489471436,0.7530155736718426
84,1.0,0.027974888682365417,0.7575757503509521,0.7487150635182237
85,1.0,0.044011425226926804,0.7575757503509521,0.7466751842064585
